School,Type,School UID,School Number,Suburb,Coord East,Coord South,Google Maps Link,Google Maps,School Info
Aaron Gqadu,Primary,SCH-00276,276,Kwazakhele,-33.866501,25.58553850,"https://www.google.com/maps?q=-33.86650101804531,25.585538502261464","https://www.google.com/maps?q=-33.86650101804531,25.585538502261464","School Address: Mbilana Crescent, Kwazakhele, Gqeberha, 6205
School Email: okubizamokoth@vodamail.co.za
School Principal: Not publicly listed
School Phone number: 041 459 5105 / 041 466 9018
Suburb: Kwazakhele"
Abraham Levy,Primary,SCH-00144,144,Schauderville,-33.932858,25.56468424,"https://www.google.com/maps?q=-33.9328575407312,25.564684239678407","https://www.google.com/maps?q=-33.9328575407312,25.564684239678407","School Address: Searle Road, Schauderville, Gqeberha, 6020
School Email: abrahamlevypr@gmail.com
School Principal: Not publicly listed
School Phone number: 041 453 3461
Suburb: Schauderville"
Adcoc Brighton kids,ECD,SCH-00245,245,New Brighton,-33.902751,25.59117600,"https://www.google.com/maps?q=-33.902751,25.591176","https://www.google.com/maps?q=-33.902751,25.591176","- School Address: No publicly listed street address found, but Google Maps coordinates place it in Brighton, Port Elizabeth, Eastern Cape, near -33.902751, 25.591176.
- School Email: Not publicly available.
- School Principal: Not publicly available.
- School Phone number: Not publicly available.
- Suburb: Brighton, Port Elizabeth, Eastern Cape."
Adolph Schauder,Primary,SCH-00123,123,Schauderville,-33.931740,25.56131061,"https://www.google.com/maps?q=-33.93174022285777,25.561310610842995","https://www.google.com/maps?q=-33.93174022285777,25.561310610842995","School Address: Gideon Road, Schauderville, Port Elizabeth, 6020
School Email: adolphschauder16@gmail.com
School Principal: F. Flores (recent sources also mention Thomas Matthews as principal in 2016)
School Phone number: 041 451 4406
Suburb: Schauderville"
Alex Jayiya,Primary,SCH-00109,109,KwaNobuhle,-33.804988,25.39323752,"https://www.google.com/maps?q=-33.80498806366577,25.39323752248251","https://www.google.com/maps?q=-33.80498806366577,25.39323752248251","School Address: Ngane Road, Kwanobuhle, Kariega, 6242
School Email: moc.liamg@26lposibmab (may be a general or SGB email)
School Principal: Not publicly listed in recent sources
School Phone number: 041 476 0296
Suburb: Kwanobuhle, Kariega"
Alexander,High School,SCH-00324,324,Newton Park,-33.941706,25.57280346,"https://www.google.com/maps?q=-33.94170625991824,25.57280346481949","https://www.google.com/maps?q=-33.94170625991824,25.57280346481949","School Address: Alexander Road, Newton Park, Gqeberha, 6045
School Email: info@arhs.co.za
School Principal: Mr. J. E. Lovemore
School Phone number: 041 365 1270
Suburb: Newton Park"
Alfonso Arries,Primary,SCH-00142,142,Booysen Park,-33.852326,25.44845081,"https://www.google.com/maps?q=-33.85232574235959,25.448450808991165","https://www.google.com/maps?q=-33.85232574235959,25.448450808991165","School Address: Chatty Ext 12, Booysens Park, Gqeberha, 6059
School Email: alfonsoarriesps@gmail.com
School Principal: Mr. Z. W. Nkukwana
School Phone number: +27 41 466 2509
Suburb: Booysens Park."
Alpha,Primary,SCH-00115,115,Galvandale,-33.912363,25.54753364,"https://www.google.com/maps?q=-33.912362894149595,25.54753363967728","https://www.google.com/maps?q=-33.912362894149595,25.54753363967728","School Address: Bell Road, Gelvandale, Gqeberha, 6020, Eastern Cape
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 041 452 3255
Suburb: Gelvandale"
Amanzi,Primary,SCH-00165,165,Amanzi Estate Farm,,,,,
Arcadia,Primary,SCH-00146,146,Arcadia,-33.881186,25.52313216,"https://www.google.com/maps?q=-33.881186083742975,25.52313216481606","https://www.google.com/maps?q=-33.881186083742975,25.52313216481606","School Address: Kimberley Rd, Arcadia, East London, 5201
School Email: admin@arcadiaps.co.za
School Principal: Not publicly listed
School Phone number: 043 743 5503
Suburb: Arcadia, East London"
Arise and Shine,ECD,SCH-00256,256,Motherwell,-33.804378,25.60580724,"https://www.google.com/maps?q=-33.80437810796366,25.60580723809042","https://www.google.com/maps?q=-33.80437810796366,25.60580723809042","School Address: Lot 2 Erf 313 Highland A/A, Bizana, 4800
School Email: ariseandshine@vodamail.co.za
School Principal: Not publicly listed
School Phone number: +27 63 124 6381
Suburb: Bizana"
Ashton Gontshi,Primary,SCH-00127,127,KwaNobuhle,-33.808362,25.38886013,"https://www.google.com/maps?q=-33.80836185397413,25.38886012617755","https://www.google.com/maps?q=-33.80836185397413,25.38886012617755","School Address: 1 Mdledle Street, Kwanobuhle, Kariega, 6242
School Email: ihstnognothsa@hotmail.com
School Principal: NM Blaauw
School Phone number: +27 41 978 5065
Suburb: Kwanobuhle"
Astra,Primary,SCH-00278,278,Bethelsdorp,-33.867854,25.49525803,"https://www.google.com/maps?q=-33.86785425541227,25.49525802554974","https://www.google.com/maps?q=-33.86785425541227,25.49525802554974","School Address: Laurence Erasmus Drive, Bloemendal, Gqeberha, 6059
School Email: ten.asmoklet@11spa (may need to verify as it appears reversed)
School Principal: Not publicly listed in recent sources
School Phone number: 041 481 5125
Suburb: Bloemendal, Gqeberha"
Baby Daycare,ECD,SCH-00218,218,Motherwell,-33.783849,25.58979339,"https://www.google.com/maps?q=-33.78384855371517,25.58979338844639","https://www.google.com/maps?q=-33.78384855371517,25.58979338844639","School Address: 181 Circular Drive, Port Elizabeth, Eastern Cape, 6070
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: (041) 368-7855 / 083 294 1532
Suburb: Charlo"
Bambino,ECD,SCH-00298,298,Clarkson,-34.011901,24.34647901,"https://www.google.com/maps?q=-34.011900712874024,24.34647900963787","https://www.google.com/maps?q=-34.011900712874024,24.34647900963787","School Address: Bambino Day Care Centre, Eastern Cape, South Africa
School Email: Not publicly listed
School Principal: Annelize Nagel
School Phone number: Not publicly listed
Suburb: Not specified, but based on coordinates, likely Humansdorp or nearby"
Bavumeleni,ECD,SCH-00053,53,Motherwell,-33.807776,25.59114572,"https://www.google.com/maps?q=-33.80777610353109,25.591145717499714","https://www.google.com/maps?q=-33.80777610353109,25.591145717499714","School Address: Elujecweni A/A, Tsolo, 5170
School Email: 220004ssjinelemuvab@gmail.com
School Principal: Not publicly listed
School Phone number: 083 349 1764
Suburb: St Cuthberts rural, Tsolo"
Bayview,Primary,SCH-00173,173,Helenvale,,,,,
Ben Nyati,Primary,SCH-00203,203,Kwazakhele,-33.881926,25.58863118,"https://www.google.com/maps?q=-33.88192649885194,25.588631181373636","https://www.google.com/maps?q=-33.88192649885194,25.588631181373636","School Address: Maqubela Street, Kwazakhele, Gqeberha, 6205
School Email: az.vog.vorp.ude@750001002
School Principal: Mh Dukwe
School Phone number: 041 467 4506
Suburb: Kwazakhele"
Ben Sinuka,Primary,SCH-00289,289,New Brighton,-33.892277,25.60263263,"https://www.google.com/maps?q=-33.892276994066776,25.602632631083768","https://www.google.com/maps?q=-33.892276994066776,25.602632631083768","School Address: 1 Gunguluza Street, New Brighton, Port Elizabeth, 6200
School Email: principal.200100058@ecschools.org.za / abawcul.elidna@gmail.com
School Principal: Mr Liza Notuku
School Phone number: 041 454 0211
Suburb: New Brighton"
Bethelsdorp,Primary,SCH-00087,87,Korsten,-33.867870,25.51287296,"https://www.google.com/maps?q=-33.867870478015405,25.512872958174313","https://www.google.com/maps?q=-33.867870478015405,25.512872958174313","School Address: Felcass Road, Salt Lake, Bethelsdorp, Gqeberha, 6059
School Email: bethelsdorpcomp@gmail.com
School Principal: (Not publicly listed in current sources)
School Phone number: 041 481 6263
Suburb: Salt Lake, Bethelsdorp"
